DriverId,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
26,"0,8,3,0,2,8,3,-2,4,2,0,1,1,1,3,-5,4,5,0,3,2,5,5,1,1,2,",-5,8,1,2,3,2,2.6457513110645907
27,"1,0,-3,-1,-3,0,3,-1,1,-4,-3,7,0,1,-1,-1,0,-1,3,-3,2,1,1,0,4,4,1,1,-2,-3,1,0,-1,0,2,4,-1,14,-2,4,0,-2,-1,",-4,14,-1,0,1,0,3.0
28,"12,",12,12,12,12,12,12,0.0
29,"1,7,2,1,2,0,0,1,6,1,3,3,2,1,1,4,2,0,5,0,",0,7,1,2,3,2,1.7320508075688772
30,"2,4,0,0,-2,0,0,-14,0,0,0,-13,-11,1,4,-1,0,-9,-20,0,-2,0,2,3,-13,0,0,0,1,4,0,1,-1,0,0,0,0,0,-2,5,-3,0,4,2,0,8,0,1,4,0,-2,0,0,1,0,1,0,1,0,-4,-2,-2,-4,1,0,-1,0,0,0,1,0,-14,5,0,0,0,0,0,-1,0,0,0,1,1,0,0,2,0,0,1,0,-3,0,2,-1,3,4,0,0,2,0,1,0,1,2,1,-1,3,0,7,0,0,1,0,0,-1,0,0,0,1,3,-7,4,0,0,1,-2,0,2,0,2,0,1,7,10,8,0,-1,-12,0,-2,0,0,-3,2,-3,4,4,0,0,1,-1,0,-11,0,1,5,0,3,3,8,0,1,0,1,1,-1,0,-1,-2,-1,0,-1,4,0,3,0,0,-1,0,-4,0,-1,0,0,0,0,-5,-1,1,0,0,0,-1,0,-1,0,0,0,1,-2,0,7,0,2,0,0,-1,-1,-11,0,-1,2,1,7,0,1,-2,2,3,1,3,-1,0,1,1,0,2,0,3,-10,0,",-20,10,0,0,1,-1,3.6055512754639891
31,"1,2,-4,-1,3,-2,0,0,1,-8,-9,-15,1,0,1,-1,-2,3,1,6,0,0,4,0,1,-1,2,1,1,0,0,-1,-1,1,0,0,0,2,1,2,-1,1,0,5,9,-5,0,-1,0,-1,3,-4,-3,0,0,5,1,-12,0,-1,0,-1,0,1,-2,0,-3,0,-19,2,-9,-3,-1,1,-3,-8,-7,-1,-3,0,0,0,0,0,1,1,1,0,0,1,-1,1,",-19,9,-1,0,1,-1,3.872983346207417
32,"1,0,1,-13,-3,-2,-1,-3,-2,-1,1,3,1,-3,1,-3,-3,-1,0,-1,3,-2,2,1,2,-7,0,3,4,-2,0,5,3,1,0,-1,6,-1,2,2,-1,-2,-2,-2,2,",-13,6,-2,0,2,-1,3.1622776601683795
33,"2,-3,-4,1,-1,-1,-2,2,1,-5,-1,-3,-2,-2,0,0,3,2,1,-2,2,2,0,2,-3,3,1,-7,6,14,1,7,0,0,0,5,",-7,14,-2,0,2,0,3.6055512754639891
34,"6,-1,3,1,",-1,6,1,3,6,2,2.4494897427831779
35,"8,-5,-1,3,0,1,4,0,0,1,1,-2,0,0,1,0,1,1,1,4,0,0,0,3,2,0,1,0,0,-1,-2,-8,1,2,-1,-1,-6,3,2,-5,3,-2,-6,3,5,2,0,0,2,0,0,0,2,2,-1,0,0,2,0,0,-2,0,2,4,-2,-2,0,1,-5,-1,-2,-3,2,1,-1,3,0,3,6,1,-1,-5,-4,0,-3,1,-2,-2,-3,0,-3,1,0,0,2,2,-1,4,1,1,-3,-1,-2,1,1,3,-3,0,2,4,0,1,3,0,1,0,-4,-1,0,1,1,3,-2,-1,-1,4,0,0,-1,1,1,3,-6,-1,1,4,2,0,-18,-1,1,-5,1,0,0,1,0,-5,1,-1,2,-8,3,-2,-2,1,0,-6,-2,-2,",-18,8,-1,0,1,-1,3.0
36,"3,0,1,0,2,1,",0,3,0,1,1,1,1.0
37,"14,0,6,3,1,3,-1,-1,0,-2,-3,3,4,1,-10,0,1,0,-2,0,-1,1,-6,0,2,6,-5,0,0,-1,-1,-7,0,2,2,1,2,-2,2,2,1,3,0,3,1,-1,1,-7,1,-2,1,-1,0,0,-7,1,2,6,4,-1,-7,4,0,4,-1,3,0,6,0,1,0,-1,0,5,-3,-3,1,-2,1,2,8,2,-1,1,-1,1,1,0,2,3,1,8,7,1,1,5,0,",-10,14,-1,1,2,0,3.4641016151377544
38,"0,3,2,-2,2,-10,2,3,2,-2,-2,",-10,3,-2,2,2,-1,3.6055512754639891
39,"-6,-1,0,1,2,1,-2,0,0,4,1,-1,0,2,-1,0,0,1,1,2,3,3,3,1,0,0,2,10,-1,-2,1,-5,0,0,3,2,14,8,0,-2,4,5,3,7,1,0,",-6,14,0,1,2,1,3.3166247903553998
40,"-3,0,1,-3,-1,2,-2,0,14,3,0,",-3,14,-2,0,0,1,4.4721359549995796
41,"2,9,-1,-6,5,4,3,0,4,1,-5,1,0,3,3,2,-4,2,3,10,0,-7,1,4,1,4,3,0,1,-1,1,2,0,1,-11,3,",-11,10,0,1,3,1,3.872983346207417
42,"2,-2,-1,-7,1,0,2,-4,0,6,2,-11,-1,-2,1,-5,2,2,",-11,6,-2,0,2,-1,3.7416573867739413
43,"0,-3,-4,-3,-4,-2,5,3,0,4,1,-1,-1,0,-2,4,0,-5,0,4,-5,-1,0,0,1,-1,-3,",-5,5,-3,0,0,-1,2.6457513110645907
44,"-1,-6,-1,4,2,2,-1,-4,3,1,1,-4,0,0,-8,2,0,-6,0,-1,-6,-5,-1,2,1,0,-1,4,2,4,0,-1,0,-3,2,-9,-2,-6,-1,-7,-1,-3,2,-1,-1,0,2,-2,3,0,-10,-1,-2,-1,-6,2,0,-2,-5,-7,1,-3,-1,-3,-7,-3,0,0,3,7,3,-4,-6,-6,-9,-2,2,-2,3,-2,-1,-2,0,1,-5,-2,2,-1,-1,-4,-1,-1,0,1,2,3,0,1,-4,0,-2,-2,-4,-3,-1,-2,3,2,-5,2,-2,-6,1,-2,-1,0,-3,-4,2,",-10,7,-3,-1,1,-2,3.1622776601683795
45,"0,-2,-2,3,2,3,1,3,1,3,3,2,",-2,3,1,2,3,1,1.7320508075688772
46,"3,-1,-3,-1,3,2,1,-1,1,1,6,-2,1,4,-1,-1,",-3,6,-1,1,3,0,2.4494897427831779
